1;80;DINAMOMETRO;FUERZA;9028-3;301;LAG3538-1;NO INDICA;17/04/2015;16/04/2016;0;0
2;80;DINAMOMETRO;FUERZA;9028-3;301;LAG3538-2;NO INDICA;17/04/2015;16/04/2016;0;0
3;80;DINAMOMETRO;FUERZA;9028-3;301;LAG3538-3;NO INDICA;17/04/2015;16/04/2016;0;0
4;6;MANOMETRO;PRESION;0-5000;22;NO INDICA;B4MAN5000-03;21/04/2015;20/04/2016;0;0
5;82;MANOMETRO;PRESION;MGA-100-A-9V-R;320;120316130;NO INDICA;03/05/2018;03/05/2019;1;
6;7;MANOMETRO DE REGULADOR 1;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H- 8011;13/06/2018;13/06/2019;1;0
7;7;MANOMETRO DE REGULADOR 2;PRESION;BU-2581-AT;371;NO INDICA;BOA-H- 8011;13/06/2018;13/06/2019;1;0
8;7;MANOMETRO DE REGULADOR 1;PRESION;BU-2581-AM;371;NO INDICA;BOA-H- 8012;07/05/2018;07/05/2019;1;0
9;82;MANOMETRO;PRESION;MGA-100;320;120316074;NO INDICA;20/04/2015;19/04/2016;0;
10;7;TRUE RMS MULTIMETER;EL�CTRICA;179;126;94740334;BOA-H-8022;28/08/2017;28/08/2018;0;0
11;7;MANOMETRO INFLADO DE RUEDA;PRESION;8844-B;95;NO INDICA;BOA-H-8125;29/04/2014;29/04/2015;0;0
12;6;TERMOMETRO BIMETALICO;TEMPERATURA;0-200;22;10 G;NO INDICA;29/04/2015;28/04/2016;0;0
13;6;TERMOMETRO BIMETALICO;TEMPERATURA;0-200;22;10 B;NO INDICA;29/04/2015;28/04/2016;0;0
14;33;BALANZA DIGITAL;MASA;SF-820;396;GL001;NO INDICA;11/05/2015;10/05/2016;0;0
15;7;MANOMETRO DE REGULADOR 2;PRESION;CU-2581-HF;371;NO INDICA;BOA-H- 8012;07/05/2018;07/05/2019;1;0
16;33;MANOMETRO;PRESION;316L;29;NO INDICA;NO INDICA;11/05/2015;10/05/2016;0;0
17;33;MANOMETRO DIGITAL;PRESION;220-25;235;25432;NO INDICA;11/05/2015;10/05/2016;0;0
18;33;BALANZA DIGITAL;MASA;TCS-A2;56;12149530;NO INDICA;11/05/2015;10/05/2016;0;0
20;7;CALIBRADOR ANALOGICO;DIMENCIONAL; 0-150;375;NO INDICA;BOA-H-8168;22/03/2018;22/03/2019;1;0
21;7;MEDIDOR DE ESPESORES DE PINTURA;DIMENCIONAL;6000;263;133168;BOA-H-8227;31/03/2016;31/03/2017;0;0
22;7;LLAVE DE TORQUE;TORQUE;QD1R200;310;409120242;BOA-H-82163;19/04/2018;19/04/2019;1;0
23;7;LLAVE DE TORQUE;TORQUE;QD3250;310;210218727;BOA-H-82208;12/09/2017;12/09/2018;1;0
24;7;LLAVE DE TORQUE;TORQUE;QD3250;310;210218729;BOA-H-82209;19/04/2018;19/04/2019;1;0
26;7;MANOMETRO DE REGULADOR 1;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H- 8003;14/06/2018;14/06/2019;1;0
27;7;MANOMETRO DE REGULADOR 2;PRESION;BU-2581-HF;371;NO INDICA;BOA-H- 8003;14/06/2018;14/06/2019;1;0
28;7;MANOMETRO INFLADO DE RUEDAS;PRESION;8844-B;95;NO INDICA;BOA-H-82201;02/01/2018;02/01/2019;1;0
29;7;MANOMETRO;PRESION;BU-2581-AT;371;NO INDICA;BOA-H-7023;28/08/2017;28/08/2018;0;0
30;7;BALANZA DIGITAL;MASA;SF400;396;NO INDICA;BOA-H-82151;02/04/2018;02/04/2019;1;0
32;7;CALIBRADOR DIGITAL;DIMENCIONAL; 0-150;94;NO INDICA;BOA-H-82190;12/05/2018;12/05/2019;1;0
33;7;TRUE RMS CLAMP METER;EL�CTRICA;337;126;11050190;BOA-H-82165;30/04/2018;30/04/2019;1;0
35;7;TENSIOMETRO;TENSI�N;T60-1002-C9-00;252;23592;BOA-H-8098;31/07/2017;31/07/2018;0;0
36;7;BOMBA MANUAL PARA MEC;PRESION;MFR-25039;371;NO INDICA;BOA-H-82199;28/08/2017;28/08/2018;0;0
37;7;LLAVE DE TORQUE;TORQUE;QD3250;310;210218720;BOA-H-82207;19/04/2018;19/04/2019;1;0
39;7;TRUE RMS MULTIMETER;EL�CTRICA;179;126;15080082;BOA-H-82347;14/05/2015;13/05/2016;0;0
41;7;MANOMETRO INFLADO DE RUEDAS;PRESION;8844-B;95;NO INDICA;BOA-H-82778;04/07/2016;04/07/2017;0;X
42;7;MANOMETRO INFLADO DE RUEDAS;PRESION;8844-B;95;NO INDICA;BOA-H-82777;11/11/2015;10/11/2016;0;0
43;7;LLAVE DE TORQUE;TORQUE;QD1R50;310;1211501820;BOA-H-70042;25/07/2018;25/07/2019;1;0
44;7;LLAVE DE TORQUE;TORQUE;QD2100;310;1111108768;BOA-H-70041;08/05/2015;07/05/2016;0;0
45;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;509065805;BOA-H-82106;03/08/2017;03/08/2018;0;0
46;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;509065842;BOA-H-82211;28/06/2017;28/06/2018;0;0
49;7;INSULATION TESTER;EL�CTRICA;1507;126;97670052;BOA-H-8193;03/07/2018;03/07/2019;1;0
50;7;MANOMETRO REGULADOR 2;PRESION;BU-2581-AT;371;NO INDICA;BOA-H-8059;27/11/2017;27/11/2018;1;0
51;7;MANOMETRO REGULADOR 1;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8059;27/11/2017;27/11/2018;1;0
52;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;509065816;BOA-H-82107;19/08/2017;19/08/2018;0;0
53;7;LLAVE DE TORQUE;TORQUE;QD1R200;310;6111042761;BOA-H-82386;25/07/2018;25/07/2019;1;0
54;7;LLAVE DE TORQUE;TORQUE;QD1R50;310;611035885;BOA-H-82397;25/07/2018;25/07/2019;1;0
55;7;MANOMETRO DE REGULADOR 1;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8195;14/07/2014;14/07/2015;0;0
56;7;MANOMETRO DE REGULADOR 2;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8195;14/07/2014;14/07/2015;0;0
58;7;LLAVE DE TORQUE;TORQUE;QD2R100;310;709095041;BOA-H-82104;19/08/2017;19/08/2018;0;0
59;7;LLAVE DE TORQUE;TORQUE;QD2R100;310;709095041;BOA-H-82105;12/07/2018;12/07/2019;1;0
60;7;MANOMETRO;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8290;06/07/2018;06/07/2019;1;0
61;7;MANOMETRO INFLADO RUEDAS;PRESION;8844-B;95;NO INDICA;BOA-H-8297;05/07/2018;05/07/2019;1;0
62;7;MANOMETRO REGULADOR 1;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8291;05/07/2018;05/07/2019;1;0
63;7;MANOMETRO REGULADOR 2;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8292;05/07/2018;05/07/2019;1;0
64;7;LLAVE DE TORQUE;TORQUE;QD2R100;310;609077524;BOA-H-8215;05/07/2018;05/07/2019;1;X
65;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;509065848;BOA-H-8214;05/07/2018;05/07/2019;1;0
66;7;MULTIMETRO DIGITAL;EL�CTRICA;179;126;94740321;BOA-H-8080;03/05/2018;03/05/2019;1;0
67;7;LLAVE DE TORQUE;TORQUE;QD1R200;310;909114610;BOA-H-82153;12/10/2017;12/10/2018;1;0
68;7;LLAVE DE TORQUE;TORQUE;QDRIVER3P;310;909200642;BOA-H-7022;31/08/2013;31/08/2014;0;0
69;7;MANOMETRO 2 REGULADOR;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8269;27/04/2016;27/04/2017;0;0
70;7;MANOMETRO 1 REGULADOR;PRESION;SA 6558;245;NO INDICA;BOA-H-8269;27/04/2016;27/04/2017;0;0
71;7;MANOMETRO;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8268;04/12/2017;04/12/2018;1;0
72;7;MANOMETRO INFLADO DE RUEDA;PRESION;8844-B;95;NO INDICA;BOA-H-8267;24/11/2017;24/11/2018;1;0
73;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;1011605769;BOA-H-82459;21/09/2017;21/09/2018;1;0
74;7;LLAVE DE TORQUE;TORQUE;QD3250;310;809110895;BOA-H-82161;11/11/2017;11/11/2018;1;0
75;7;MANOMETRO;PRESION;0-30;169;TB-01;BOA-H-82395;25/07/2018;25/07/2019;1;0
76;7;LLAVE DE TORQUE;TORQUE;QD2FR75;310;909117625;BOA-H-82154;12/10/2017;12/10/2018;1;0
77;7;LLAVE DE TORQUE;TORQUE;QD3R250;310;909118583;BOA-H-82155;10/04/2018;10/04/2019;1;0
79;7;TRUE RMS MULTIMETER;EL�CTRICA;179;126;94740331;BOA-H-8023;07/11/2017;07/11/2018;1;0
88;7;MICROMETRO DE INTERIORES;DIMENCIONAL;0,35;51;NO INDICA;BOA-H-70080;21/10/2013;21/10/2014;0;0
89;7;MICROMETRO DE INTERIORES;DIMENCIONAL;0,8;51;71093634;BOA-H-70081;21/10/2013;21/10/2014;0;0
90;7;MICROMETRO DE INTERIORES;DIMENCIONAL;IP5413-557-4;316;110794856;BOA-H-70082;22/10/2013;22/10/2014;0;0
91;7;MICROMETRO DE INTERIORES;DIMENCIONAL;IP5413-557-4;316;110894444;BOA-H-70083;21/10/2013;21/10/2014;0;0
92;7;MICROMETRO DE INTERIORES;DIMENCIONAL;13557-4;316;110693664;BOA-H-70084;24/10/2013;24/10/2014;0;0
93;7;MICROMETRO DE INTERIORES;DIMENCIONAL;13557-4;316;110890484;BOA-H-70085;24/10/2013;24/10/2014;0;0
94;7;MICROMETRO DE INTERIORES;DIMENCIONAL;13557-9;316;100295648;BOA-H-70086;24/11/2015;23/11/2016;0;0
95;7;BANCO DE RESORTES;FUERZA;ISTM 100;201;2197;BOA-H-70087;05/11/2014;05/11/2015;0;DUPLICADO
97;7;LLAVE DE TORQUE;TORQUE;QD-2R100;310;1108051678;BOA-H-8043;18/11/2013;18/11/2014;0;0
98;7;LLAVE DE TORQUE;TORQUE;QD-2R100;310;1108051671;BOA-H-8031;09/12/2016;09/12/2017;0;0
99;7;LLAVE DE TORQUE;TORQUE;QD-2R100;310;1108062532;BOA-H-8162;08/11/2017;08/11/2018;1;0
100;7;CALIBRADOR PIE DE REY;DIMENCIONAL;0-150;228;NO INDICA;BOA-H-82327;04/07/2018;04/07/2019;1;0
101;7;MANOMETRO;PRESION;NO INDICA;388;AE3857;BOA-H- 82237;21/11/2017;21/11/2018;1;0
102;7;MICROMETRO;DIMENCIONAL; NO INDICA;128;80554592;BOA-H-82141;13/10/2017;13/10/2018;1;0
104;7;LLAVE DE TORQUE;TORQUE;TE 3A;310;14660;BOA-H-82785;01/02/2018;01/02/2019;1;0
105;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;1108065327;BOA-H-8044;24/11/2017;24/11/2018;1;0
106;7;LLAVE DE TORQUE;TORQUE;QD4R100;310;1008046436;BOA-H-8032;01/09/2017;01/09/2018;0;0
107;7;LLAVE DE TORQUE;TORQUE;QD4R400;310;1108060305;BOA-H-8030;25/07/2018;25/07/2019;1;DADO DE BAJA
108;7;RELOJ COMPARADOR;DIMENCIONAL; 2046S;228;PEH 539;BOA-H-82928;24/01/2017;24/01/2018;0;DADO DE BAJA
109;7;DINAMOMETRO DE 40KG;FUERZA;0-40;385;NO INDICA;BOA-H-82927;26/12/2013;26/12/2014;0;0
110;7;DINAMOMETRO DE 20KG;FUERZA;0-20;122;NO INDICA;BOA-H-82927-1;09/01/2014;09/01/2015;0;0
111;7;MANOMETRO INFLADO DE RUEDA;PRESION;8844-B;95;NO INDICA;BOA-H-82202;13/06/2014;13/06/2015;0;0
112;7;MANOMETRO INFLADO DE RUEDA;PRESION;8844-B;95;NO INDICA;BOA-H-82203;11/01/2017;11/01/2018;0;DADO DE BAJA
113;7;MANOMETRO 1 REGULADOR;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8060;04/10/2017;04/10/2018;1;0
114;7;MANOMETRO 2 REGULADOR;PRESION;BU-2581-AQ;371;NO INDICA;BOA-H-8060;04/10/2017;04/10/2018;1;0
